player_id,first_name,last_name,team,pos,gp,gs,off_snp,tm_off_snp,pass_att,pass_cmp,pass_yd,pass_td,pass_int,pass_sack,rush_att,rush_yd,rush_td,rec,rec_tgt,rec_yd,rec_td,rec_air_yd,rec_rz_tgt,fum_lost,pass_2pt,rush_2pt,rec_2pt,rec_fd,rush_fd,pass_fd,fgm,fga,xpm,xpa,fgm_0_19,fgm_20_29,fgm_30_39,fgm_40_49,fgm_50p,pts_allow,sack,int,fum_rec,def_td,safe,blk_kick,pts_ppr,pts_std
13414,Kaelon,Black,SF,RB,1.0,,17.0,52.0,,,,,,,7.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,2.5
8122,Zonovan,Knight,ARI,RB,1.0,,3.0,50.0,,,,,,,2.0,24.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,2.4,2.4
13405,Kaytron,Allen,WAS,RB,1.0,,6.0,71.0,,,,,,,5.0,24.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,2.4,2.4
2359,Ameer,Abdullah,JAX,RB,1.0,,6.0,59.0,,,,,,,3.0,11.0,,1.0,1.0,2.0,,-6.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,2.3,1.3
12472,Raheim,Sanders,CLE,RB,1.0,,11.0,58.0,,,,,,,2.0,4.0,,1.0,1.0,7.0,,-4.0,,,,,,,,,,,,,,,,,,,,,,,,,2.1,1.1
11583,Jonathon,Brooks,CAR,RB,1.0,,20.0,66.0,,,,,,,5.0,16.0,,1.0,1.0,-5.0,,-6.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,2.1,1.1
6012,Travis,Homer,PIT,RB,1.0,,2.0,70.0,,,,,,,2.0,16.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.6,1.6
12467,Jordan,James,SF,RB,1.0,,8.0,52.0,,,,,,,4.0,15.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.5,1.5
7204,Reggie,Gilliam,NE,RB,1.0,,20.0,55.0,,,,,,,,,,1.0,2.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4,0.4
10219,Chris,Rodriguez,JAX,RB,1.0,,13.0,59.0,,,,,,,6.0,13.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,1.3,1.3
8025,Adam,Prentice,DEN,FB,1.0,,8.0,62.0,,,,,,,,,,1.0,1.0,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,1.2,0.2
13347,Demond,Claiborne,MIN,RB,1.0,,2.0,52.0,,,,,,,,,,1.0,1.0,2.0,,-7.0,,,,,,,,,,,,,,,,,,,,,,,,,1.2,0.2
11643,Jaylen,Wright,MIA,RB,1.0,,3.0,59.0,,,,,,,2.0,11.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.1,1.1
13288,Nicholas,Singleton,TEN,RB,1.0,,6.0,53.0,,,,,,,4.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0
6130,Devin,Singletary,NYG,RB,1.0,,15.0,58.0,,,,,,,3.0,9.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,0.9
11199,Emari,Demercado,DAL,RB,1.0,,9.0,55.0,,,,,,,3.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,0.8
13305,Mike,Washington,LV,RB,1.0,,12.0,63.0,,,,,,,3.0,7.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,0.7
12495,Ollie,Gordon,MIA,RB,1.0,,11.0,59.0,,,,,,,3.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,0.7
7528,Najee,Harris,NYG,RB,1.0,,8.0,58.0,,,,,,,4.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,0.6
11439,Jaleel,McLaughlin,CLE,RB,1.0,,8.0,58.0,,,,,,,1.0,3.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,0.3
13277,CJ,Donaldson,NO,RB,1.0,,20.0,68.0,,,,,,,1.0,2.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,0.2,0.2
8181,Connor,Heyward,LV,RB,1.0,,19.0,63.0,,,,,,,1.0,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,0.1,0.1
11510,Hunter,Luepke,DAL,FB,1.0,,10.0,55.0,,,,,,,1.0,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,0.1,0.1
8195,Ronnie,Rivers,LAR,RB,1.0,,,62.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11655,Tyrone,Tracy,NYG,RB,1.0,,1.0,58.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14071,Grant,Finley,NYG,FB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13315,Dean,Connors,LAR,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4353,Patrick,Ricard,NYG,FB,1.0,1.0,18.0,58.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12738,Phil,Mafah,NYG,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13010,Jordan,Waters,LAR,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9753,Zach,Charbonnet,SEA,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9510,Lew,Nichols,PIT,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8800,Malik,Davis,DAL,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8408,Jordan,Mason,MIN,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6323,Andrew,Beck,NYJ,RB,1.0,,4.0,74.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6109,Alec,Ingold,LAC,FB,1.0,1.0,28.0,68.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4219,Jeremy,McNichols,WAS,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4137,James,Conner,ARI,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13438,DeaMonte,Trayanum,NYJ,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13436,Kentrel,Bullock,CIN,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13423,Eli,Heidenreich,PIT,RB,1.0,,,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13302,Adam,Randall,BAL,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13047,Jacardia,Wright,SEA,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12544,LeQuint,Allen,JAX,RB,1.0,,9.0,59.0,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
12531,Trevor,Etienne,CAR,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11588,Jawhar,Jordan,HOU,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11570,Rasheen,Ali,BAL,RB,1.0,,,58.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11186,Carlos,Washington,MIA,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10235,Roschon,Johnson,CHI,RB,1.0,,1.0,74.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9506,Sean,Tucker,TB,RB,1.0,,,65.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8423,Brittain,Brown,CHI,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8220,Sincere,McCormick,SF,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8129,Dameon,Pierce,PHI,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7608,Khalil,Herbert,ATL,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13964,Myles,Montgomery,NE,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13516,Max,Bredeson,MIN,RB,1.0,,17.0,52.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13416,Roman,Hemby,LV,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13339,Davon,Booth,IND,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12787,Josh,Williams,TB,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
