player,team,pos,opp,pts_ppr,pass_att,pass_cmp,pass_inc,pass_yd,pass_td,pass_int,pass_sack,pass_fd,rush_att,rush_yd,rush_td,rush_fd,rec,rec_tgt,rec_yd,rec_td,rec_fd,fum_lost,pts_allow,fgm,xpm,sack,int,fum_rec,def_td
Austin Roberts,,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brayden Lenius,,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jimmy Bell,,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,
Steven Scheu,,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daniel Helm,,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,
Landon Rice,,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charles Scarff,,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cam Grandy,MIN,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thaddeus Moss,,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rohan Jones,,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brian Walker,,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,
Franko House,CHI,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marcus Santos-Silva,,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jake Butt,,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dylan Leonard,,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,
JJ Howland,,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chris Pierce,,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scott Orndoff,,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stevo Klotz,,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chris Herndon,,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ben Beise,,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albert Okwuegbunam,,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,
Demetrius Harris,,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,
DJ Thomas-Jones,,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ty Pezza,BAL,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ricky Seals-Jones,,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeremy Sprinkle,,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blake Mack,,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jared Wiley,KC,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jamal Pettigrew,,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trey Burton,,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan Thomas,,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taysom Hill,,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ryan Smith,,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kahale Warring,,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nick Vannett,BAL,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marshall Lang,MIN,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jake Hausmann,,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austin Allen,,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moliki Matavao,NO,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tyree Mayfield,,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kole Taylor,,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marcus Baugh,,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gerrit Prince,,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,
Evan Baylis,,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ross Travis,,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jason Witten,,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,
Connor Davis,,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trey Knox,,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jerell Adams,,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oscar Cardenas,,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hunter Bryant,,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andrew Price,,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,
Johnny Lumpkin,,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roger Carter,,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lance Kendricks,,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drew Biber,,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mark Redman,GB,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caleb Wilson,,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,
O.J. Howard,,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,
DeShawn Hanika,,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nick Bowers,,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lachlan Pitts,,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,
Billy Brown,,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thomas Fidone,NYG,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,
Julian Hill,NE,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,
John Raine,,FB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Josh Bist,,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jevoni Robinson,,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,
DJ Rogers,DAL,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,
Garrett Griffin,,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cade Brewer,,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tyler Eifert,,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cheyenne O'Grady,,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nick Kallerup,SEA,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,
Darren Fells,TB,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,
Justin Johnson,,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cary Angeline,,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eric Tomlinson,,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thomas Yassmin,GB,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scooter Harrington,,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,
McCallan Castles,,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,
Steven Wroblewski,,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,
John Copenhaver,,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hayden Hurst,,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cethan Carter,,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,
Devin Asiasi,,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,
