player_id,first_name,last_name,team,pos,gp,gs,off_snp,tm_off_snp,pass_att,pass_cmp,pass_yd,pass_td,pass_int,pass_sack,rush_att,rush_yd,rush_td,rec,rec_tgt,rec_yd,rec_td,rec_air_yd,rec_rz_tgt,fum_lost,pass_2pt,rush_2pt,rec_2pt,rec_fd,rush_fd,pass_fd,fgm,fga,xpm,xpa,fgm_0_19,fgm_20_29,fgm_30_39,fgm_40_49,fgm_50p,pts_allow,sack,int,fum_rec,def_td,safe,blk_kick,pts_ppr,pts_std
3202,Austin,Hooper,ATL,TE,1.0,,30.0,69.0,,,,,,,,,,2.0,4.0,20.0,,5.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,4.0,2.0
13330,Kenyon,Sadiq,NYJ,TE,1.0,,27.0,74.0,,,,,,,,,,2.0,3.0,17.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,3.7,1.7
8172,Greg,Dulcich,MIA,TE,1.0,,36.0,59.0,,,,,,,,,,2.0,3.0,17.0,,2.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,3.7,1.7
9480,Brenton,Strange,JAX,TE,1.0,1.0,49.0,59.0,,,,,,,,,,2.0,2.0,17.0,,17.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,3.7,1.7
6865,Colby,Parkinson,LAR,TE,1.0,1.0,44.0,62.0,,,,,,,,,,2.0,2.0,15.0,,-3.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,3.5,1.5
9484,Tucker,Kraft,GB,TE,1.0,1.0,58.0,59.0,,,,,,,,,,2.0,3.0,15.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,3.5,1.5
5973,Josh,Oliver,MIN,TE,1.0,1.0,31.0,52.0,,,,,,,,,,1.0,1.0,24.0,,5.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,3.4,2.4
12502,Gunnar,Helm,TEN,TE,1.0,1.0,46.0,53.0,,,,,,,,,,2.0,2.0,13.0,,-1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,3.3,1.3
4314,Johnny,Mundt,PHI,TE,1.0,1.0,49.0,76.0,,,,,,,,,,2.0,3.0,8.0,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,2.8,0.8
4066,Evan,Engram,DEN,TE,1.0,1.0,32.0,62.0,,,,,,,,,,1.0,1.0,17.0,,17.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,2.7,1.7
12521,Elijah,Arroyo,SEA,TE,1.0,,15.0,70.0,,,,,,,,,,1.0,1.0,17.0,,14.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,2.7,1.7
7553,Kyle,Pitts,ATL,TE,1.0,1.0,26.0,69.0,,,,,,,,,,1.0,3.0,15.0,,11.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,2.5,1.5
8145,Jeremy,Ruckert,NYJ,TE,1.0,,25.0,74.0,,,,,,,,,,2.0,2.0,5.0,,-10.0,,,,,,,,,,,,,,,,,,,,,,,,,2.5,0.5
11592,Erick,All,CIN,TE,1.0,,25.0,60.0,,,,,,,,,,2.0,3.0,5.0,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,2.5,0.5
11942,Colson,Yankoff,WAS,TE,1.0,,21.0,71.0,,,,,,,,,,1.0,1.0,14.0,,4.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,2.4,1.4
12473,Mitchell,Evans,CAR,TE,1.0,,38.0,66.0,,,,,,,,,,1.0,1.0,13.0,,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,2.3,1.3
4995,Ian,Thomas,LV,TE,1.0,,31.0,63.0,,,,,,,,,,1.0,1.0,11.0,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,2.1,1.1
4033,David,Njoku,LAC,TE,1.0,,11.0,68.0,,,,,,,,,,1.0,3.0,9.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.9,0.9
13322,Sam,Roush,CHI,TE,1.0,,20.0,74.0,,,,,,,,,,1.0,3.0,9.0,,-3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.9,0.9
13319,Oscar,Delp,NO,TE,1.0,,9.0,68.0,,,,,,,,,,1.0,1.0,8.0,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,1.8,0.8
10214,Davis,Allen,LAR,TE,1.0,1.0,32.0,62.0,,,,,,,,,,1.0,1.0,7.0,,2.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.7,0.7
9479,Darnell,Washington,PIT,TE,1.0,1.0,37.0,70.0,,,,,,,,,,1.0,2.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7,0.7
7536,Quintin,Morris,JAX,TE,1.0,,13.0,59.0,,,,,,,,,,1.0,1.0,7.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,1.7,0.7
11596,Ben,Sinnott,WAS,TE,1.0,1.0,48.0,71.0,,,,,,,,,,1.0,1.0,6.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,1.6,0.6
5022,Dallas,Goedert,PHI,TE,1.0,1.0,19.0,76.0,,,,,,,,,,1.0,3.0,4.0,,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.4,0.4
7694,Tommy,Tremble,CAR,TE,1.0,1.0,37.0,66.0,,,,,,,,,,1.0,2.0,4.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.4,0.4
13434,Will,Kacmarek,MIA,TE,1.0,1.0,28.0,59.0,,,,,,,,,,1.0,1.0,4.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,1.4,0.4
